,Cloudiness,Date,Humidity,Lat,Lng,Max temp,Wind speed,city,country_code
85,0,1524261600,83,24.47,54.37,23.0,2.1,Abu Dhabi,AE
86,40,1524261600,73,17.02,-25.06,21.0,8.2,Porto Novo,CV
87,0,1524264410,100,65.58,-170.99,-5.43,12.81,Lavrentiya,RU
88,0,1524264411,61,67.47,86.57,-17.36,0.94,Igarka,RU
89,92,1524264411,98,-28.29,31.43,15.57,1.26,Ulundi,ZA
90,12,1524264411,65,47.8,67.71,8.07,6.19,Zhezkazgan,KZ
91,75,1524263400,82,37.73,-25.67,16.0,4.1,Ponta Delgada,PT
92,20,1524263400,94,1.33,124.84,24.0,1.0,Tomohon,ID
93,20,1524264411,79,65.95,111.51,-7.43,2.36,Aykhal,RU
94,8,1524264472,57,9.06,13.67,27.52,3.39,Lagdo,CM
95,0,1524264472,62,-34.55,146.4,21.57,2.01,Leeton,AU
96,0,1524261600,81,37.57,126.98,11.0,0.5,Seoul,KR
97,5,1524260400,8,28.71,-111.6,31.0,2.6,Santa Rosalia,MX
98,20,1524261600,50,12.48,-87.17,35.0,2.1,Corinto,NI
99,75,1524261420,65,21.35,-158.09,28.0,8.2,Makakilo City,US
100,12,1524264473,90,-9.08,-78.59,19.15,2.91,Chimbote,PE
101,8,1524264473,74,67.65,134.64,1.15,2.36,Batagay,RU
102,0,1524262800,55,36.09,28.02,18.0,7.7,Lardos,GR
103,64,1524264473,55,11.69,-70.21,29.57,8.64,Punto Fijo,VE
104,90,1524261960,74,19.71,-155.08,26.0,4.6,Hilo,US
105,0,1524264474,44,27.97,-114.04,22.27,6.74,Guerrero Negro,MX
106,0,1524264474,55,61.4,128.95,-2.06,3.76,Mokhsogollokh,RU
107,0,1524264474,47,-33.86,121.89,14.77,1.84,Esperance,AU
108,0,1524264474,89,34.7,138.93,18.7,2.91,Shimoda,JP
109,0,1524264474,40,11.06,17.94,21.2,1.96,Melfi,TD
110,20,1524261600,83,13.22,-59.52,26.0,6.2,Bathsheba,BB
111,92,1524264475,100,-8.49,140.4,26.7,6.39,Merauke,ID
112,48,1524264475,70,58.18,94.69,-0.46,2.96,Motygino,RU
113,90,1524263940,87,50.7,-127.42,9.0,2.1,Port Hardy,CA
114,76,1524264475,100,12.45,125.29,27.15,4.51,Anito,PH
115,0,1524261600,54,-5.09,-81.11,27.0,6.2,Paita,PE
116,92,1524264243,89,61.51,38.95,-2.13,6.39,Kargopol,RU
